CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt 
Ecrire des livres,nan,-7.25,9,-9.75,-7.25,nan
Traduire,0,4,5,6,-10,9
Développer les relations internationales,nan,nan,nan,nan,nan,-4.25
Pratiquer plusieurs langues,nan,nan,nan,nan,nan,nan
Se déplacer en tournées,nan,nan,-8.25,nan,5,7.25
Organiser des sorties pédagogiques avec des personnes handicapées,10,nan,nan,nan,4.75,7.5
Apprendre à des personnes handicapées à travailler en autonomie,10,nan,nan,nan,4.5,7.5
Favoriser l'insertion professionnelle et sociale des personnes,9.5,nan,nan,nan,nan,0.75
Enseigner et éduquer,6.5,4,3,-1,1.25,nan
Enseigner dans une école primaire,8,2.25,nan,nan,nan,nan
Enseigner à une classe de lycée,7.5,2.75,nan,-1.5,1.25,nan
"Aider, conseiller les autres",nan,nan,nan,-2.5,-4.25,2
M'occuper de la santé des autres,9,0,nan,6.75,6.5,6.5
Travailler pour des associations,7.75,nan,nan,nan,4,5
Réaliser un accompagnement psychologique,8.25,-0.25,6.5,6.5,0.25,3
Apprendre la lecture à des enfants,9.25,6,nan,6.5,-1.5,nan
S'occuper des enfants dans une garderie,9,3.75,nan,7.25,6,7.25
Être avec des enfants ou adolescents,7,nan,nan,7.25,4.5,6.75
Travailler en magasin,nan,nan,nan,6.5,nan,7.25
Travailler au domicile d'un particulier,7.25,nan,6.75,nan,nan,7.75
Aider les personnes ayant des problèmes familiaux,10,nan,6.25,nan,3.25,nan
Aider les personnes ayant des problèmes d'addiction,10,nan,6,nan,6.25,nan
Prendre soin des animaux,9.75,nan,0,nan,nan,7.25
Protéger l'environnement,nan,5.5,nan,nan,5,6.5
Être dans la nature,nan,nan,nan,nan,nan,7.5
Etudier le comportement animal,5.25,-6,nan,nan,-2.75,-8
Cartographier,nan,7,nan,nan,nan,nan
Etudier des solutions pour réduire la pollution,nan,-4.5,nan,nan,-4.5,nan
Faire de la recherche scientifique,nan,-8.25,nan,nan,-5.75,-10
Examiner au microscope,nan,nan,8.25,7,nan,nan
"Gérer une architechture logicielle, un système technique",nan,7,nan,6.5,-8,nan
Rechercher et analyser des informations,nan,-0.25,4.75,-1.75,nan,nan
"Travailler avec les nombres, manipuler des données",0,0,4,5,-8.25,-3
Etudier la génétique,nan,nan,nan,7,-8.5,nan
Etudier la structure du corps humain,nan,nan,nan,7,-8.5,nan
Développer des nouveaux traitements médicaux,6.5,nan,nan,nan,-6,nan
Etudier le mouvement des planètes,nan,nan,nan,6.5,-8.75,nan
"Faire des expériences, des tests",0,0,nan,7,-4.5,-3
Développer des programmes informatiques,0,0,nan,-0.75,-8.5,-3
Résoudre des énigmes et des problèmes,0,-5.25,5.25,-4.5,nan,-3
Elaborer une feuille de calcul à l'aide d'un logiciel,nan,nan,8.25,6.75,-9.25,6
Modéliser / Prototyper,nan,nan,6.75,-4.75,-2.75,nan
Utiliser les nouvelles technologies,-6,-8,0,-3,-4,2.5
Assurer une veille technologique,-8,-10,6,2.25,-7,nan
